,play_external_id,set_external_id,date,n,link,Detail
1,8d5f8379-aa09-4bd1-9a71-80e5a606cb63,208ae30a-a4fe-42d4-9e51-e6fd1ad2a7a9,Jan 12 2021,12546,https://nbatopshot.com/listings/p2p/208ae30a-a4fe-42d4-9e51-e6fd1ad2a7a9+8d5f8379-aa09-4bd1-9a71-80e5a606cb63,"Come for four-time NBA Champion LeBron James casually burying one of the most efficient shots in basketball, stay for the next-level celebration. James sinks the corner triple against the Houston Rockets on January 12, 2021 then turns to face the Los Angeles Lakers bench before the ball even finds the net."
2,2d0fe5aa-617a-4492-89d2-faa125e4b196,208ae30a-a4fe-42d4-9e51-e6fd1ad2a7a9,Dec 22 2020,8935,https://nbatopshot.com/listings/p2p/208ae30a-a4fe-42d4-9e51-e6fd1ad2a7a9+2d0fe5aa-617a-4492-89d2-faa125e4b196,"He’s still making it look easy! Now in his 18th NBA season, LeBron James of the Los Angeles Lakers gets out on the break and throws down a fierce one-handed jam early in the third quarter of their opening night matchup against the LA Clippers on December 22, 2020."
3,23d37299-e149-4ab5-8f3f-c8686c711675,208ae30a-a4fe-42d4-9e51-e6fd1ad2a7a9,Jan 10 2021,4807,https://nbatopshot.com/listings/p2p/208ae30a-a4fe-42d4-9e51-e6fd1ad2a7a9+23d37299-e149-4ab5-8f3f-c8686c711675,"That’s my quarterback! LeBron James sizes up a defensive rebound as it caroms off the rim then immediately throws a perfect spiral down the court to a streaking Kentavious Caldwell-Pope on January 10, 2021. James put up 18 points, seven rebounds and seven assists in the Los Angeles Lakers’ win over the Houston Rockets."
4,841ef60e-f59d-42d8-bf26-53ff8b9824bc,7b797690-5b53-45a7-b972-bd2d5152654a,Sep 18 2020,2147,https://nbatopshot.com/listings/p2p/7b797690-5b53-45a7-b972-bd2d5152654a+841ef60e-f59d-42d8-bf26-53ff8b9824bc,"Get up, Mr. James! Superstar LeBron James of the Los Angeles Lakers gets way up for a thunderous alley-oop slam in Game 1 of the Western Conference Finals against the Denver Nuggets on September 18, 2020."
5,48902a95-f3ee-4499-afad-5b62e106ea31,2ab08547-9f62-4ff4-aff9-1bdc0de8fa3e,Sep 30 2020,593,https://nbatopshot.com/listings/p2p/2ab08547-9f62-4ff4-aff9-1bdc0de8fa3e+48902a95-f3ee-4499-afad-5b62e106ea31,"The double-clutch hammer! LeBron James of the Los Angeles Lakers catches a beautiful bounce pass on his way to the rim for a massive two-handed slam against the Miami Heat during fourth quarter action of Game 1 of the NBA Finals on September 30, 2020."
6,768166e3-f4bb-4395-9b48-4c545aebc95c,7b797690-5b53-45a7-b972-bd2d5152654a,Feb 6 2020,509,https://nbatopshot.com/listings/p2p/7b797690-5b53-45a7-b972-bd2d5152654a+768166e3-f4bb-4395-9b48-4c545aebc95c,"Hang time with The King! Los Angeles Lakers superstar LeBron James throws down the showtime two-handed reverse windmill slam against Western Conference foes the Houston Rockets on February 6, 2020."
7,841ef60e-f59d-42d8-bf26-53ff8b9824bc,d4712d31-9030-40de-b1a6-1fb9964348f3,Sep 18 2020,461,https://nbatopshot.com/listings/p2p/d4712d31-9030-40de-b1a6-1fb9964348f3+841ef60e-f59d-42d8-bf26-53ff8b9824bc,"Get up, Mr. James! Superstar LeBron James of the Los Angeles Lakers gets way up for a thunderous alley-oop slam in Game 1 of the Western Conference Finals against the Denver Nuggets on September 18, 2020."
8,3c3aed0d-ec8c-4295-bcf8-b1887567606d,b2605806-0d47-439f-ba72-784897470bb0,May 7 2021,346,https://nbatopshot.com/listings/p2p/b2605806-0d47-439f-ba72-784897470bb0+3c3aed0d-ec8c-4295-bcf8-b1887567606d,"After 18 years of watching him make it look easy, you’d think it would get old watching LeBron James take off with an open lane to the basket. James catches an outlet pass from Nikola Jokić then hovers through the paint for a double-clutch reverse slam in the NBA All-Star Game on March 7, 2021."
9,de32d3fb-0e6a-447e-b42a-08bbf1607b7d,7b797690-5b53-45a7-b972-bd2d5152654a,Nov 15 2019,288,https://nbatopshot.com/listings/p2p/7b797690-5b53-45a7-b972-bd2d5152654a+de32d3fb-0e6a-447e-b42a-08bbf1607b7d,"Los Angeles Lakers superstar LeBron James drives the lane and throws down a wicked one-handed slam against Western Conference rivals the Sacramento Kings on November 15, 2019."
10,6c806ca9-c147-43b1-b1da-dd9de23b043b,feead270-621c-4cde-baac-2f6834e9e594,Sep 4 2020,252,https://nbatopshot.com/listings/p2p/feead270-621c-4cde-baac-2f6834e9e594+6c806ca9-c147-43b1-b1da-dd9de23b043b,"Get up, LeBron! Los Angeles Lakers superstar LeBron James catches the super sweet bounce pass from teammate Alex Caruso before throwing down the massive in-traffic slam against the Houston Rockets in their Western Conference Semifinal series on September 4, 2020."
