,team_display_name,Game_played,team_color,team_alternate_color,defensive_blocks,defensive_steals,general_fouls,general_rebounds,offensive_assists,offensive_field_goals_attempted,offensive_field_goals_made,offensive_free_throws_attempted,offensive_free_throws_made,offensive_points,offensive_three_point_field_goals_attempted,offensive_three_point_field_goals_made,offensive_total_turnovers,offensive_estimated_possessions,offensive_two_point_field_goals_made,offensive_two_point_field_goals_attempted
1,Alabama Crimson Tide,34,9e1632,ffffff,172,206,636,1508,517,2115,944,777,564,2794,1012,342,479,2488.8,602,1103
2,Miami Hurricanes,32,4325,f0f0f0,105,235,461,1106,478,1908,927,572,444,2541,661,243,363,2180.8,684,1247
3,Kansas Jayhawks,34,0051ba,e8000d,128,299,564,1221,559,2019,940,601,431,2548,689,237,420,2358.4,703,1330
4,Virginia Cavaliers,32,f84c1e,ffffff,135,221,458,1025,506,1711,769,591,414,2170,617,218,274,1971.4,551,1094
5,Houston Cougars,34,c92a39,ffffff,162,283,563,1319,504,2028,936,577,415,2551,766,264,338,2177.8,672,1262
6,Duke Blue Devils,34,13088,ffffff,153,194,517,1316,503,1959,884,604,465,2466,693,233,409,2213.6,651,1266
7,Marquette Golden Eagles,34,83963,ffffff,107,320,555,1084,598,2066,1007,559,403,2718,865,301,365,2358.6,706,1201
8,UConn Huskies,33,0c2340,f1f2f3,161,216,599,1286,570,1981,911,623,470,2589,832,297,427,2235.2,614,1149
9,Xavier Musketeers,34,2144,9ea2a2,108,222,541,1280,655,2077,1027,640,457,2768,650,257,429,2412,770,1427
10,Creighton Bluejays,33,13299e,00235d,138,173,434,1226,525,1943,908,546,419,2529,817,294,384,2288.4,614,1126
11,Indiana Hoosiers,33,990000,edebeb,163,190,573,1180,509,1919,939,577,411,2476,505,187,383,2248.8,752,1414
12,Purdue Boilermakers,34,0,cfb991,123,163,466,1312,527,1883,865,701,521,2485,717,234,372,2138.4,631,1166
13,Michigan State Spartans,31,18453B,ffffff,90,142,514,1106,460,1773,798,458,349,2177,587,232,337,2034.2,566,1186
14,Iowa Hawkeyes,32,0,fcd116,110,212,475,1163,530,2009,913,654,483,2567,752,258,317,2215.6,655,1257
15,Northwestern Wildcats,32,582c83,ffffff,133,255,518,1107,414,1856,753,551,414,2165,764,245,312,2081.4,508,1092
16,Baylor Bears,32,154734,ffb81c,76,213,558,1097,464,1843,823,685,513,2469,834,310,394,2149,513,1009
17,Kansas Jayhawks,34,0051ba,e8000d,128,299,564,1221,559,2019,940,601,431,2548,689,237,420,2358.4,703,1330
18,Texas Longhorns,34,c15d26,ffffff,125,274,599,1167,548,2049,959,646,486,2647,717,243,398,2396.4,716,1332
19,Kansas State Wildcats,32,633194,e7d2ad,89,246,567,1140,536,1848,838,683,512,2416,670,228,459,2269.2,610,1178
20,Iowa State Cyclones,32,822433,fdca2f,93,282,611,1072,450,1822,820,506,341,2190,616,209,419,2098.4,611,1206
21,TCU Horned Frogs,33,4d1979,f1f2f3,156,272,534,1180,535,1999,913,678,475,2481,588,180,402,2309.2,733,1411
22,Arizona Wildcats,34,0c234b,ab0520,109,208,579,1339,652,2015,999,735,521,2811,765,292,455,2424,707,1250
23,UCLA Bruins,34,2774ae,f2a900,131,287,533,1217,483,2071,949,562,406,2513,602,209,349,2274.8,740,1469
24,Tennessee Volunteers,33,ff8200,ffffff,120,273,553,1278,558,1931,843,597,426,2369,780,257,398,2162.8,586,1151
25,Texas A&M Aggies,34,5C0025,ffffff,80,232,622,1250,430,1873,815,860,653,2490,632,207,419,2233,608,1241
